File,Vegetation Points Before Threshold,Vegetation Points After Threshold,Points Removed
plot_09,302378,298864,3514
plot_08,255654,251481,4173
plot_05,98878,85773,13105
plot_10,311011,309400,1611
plot_04,241722,229259,12463
plot_06,288921,282850,6071
plot_07,305722,302447,3275
plot_03,296168,292862,3306
plot_02,350098,345890,4208
plot_01,213993,210680,3313
plot_09,302378,298864,3514
plot_08,255654,251481,4173
plot_05,98878,85773,13105
plot_10,311011,309400,1611
plot_04,241722,229259,12463
plot_06,288921,282850,6071
plot_07,305722,302447,3275
plot_03,296168,292862,3306
plot_02,350098,345890,4208
plot_01,213993,210680,3313
